NRGSTREAM Data Extract for stream : AB - Market Comments,
12/06/2017 3:18,Battle River #4 online.
12/05/2017 20:00,Keephills #2 offline.
12/05/2017 13:16,The AESO is doing planned system maintenance today at 14:10 pm. ADaMS will be unavailable for approx 30 min  Controllers will dispatch via phone. ETS will be unavailable for approx 5-10 min. Submissions and restatements will be delayed for 20 min.
12/05/2017 9:06,The AESO is doing planned system maintenance today at 10:10am MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
12/05/2017 3:28,Sheerness 1 on line.
12/04/2017 19:28,Battle River 4 off line.
12/04/2017 6:55,Keephills #1 on line.
12/03/2017 12:00,Sundance 4 on line.
12/01/2017 21:23,Sundance 4 off line.
12/01/2017 17:01,Keephills 1 off line.
12/01/2017 9:01,The AESO is doing planned system maintenance today at 10:10. ADaMS will be unavailable for approx 30 min  Controllers will dispatch via phone. ETS will be unavailable for approx 5-10 min. Submissions and restatements will be delayed for 20 min.
11/30/2017 19:00,Shepard 2 online
11/30/2017 18:02,Calgary Energy Centre online
11/30/2017 18:00,AESO operations have resumed from their primary control centre.
11/30/2017 07:53,As of 06h00  operations are continuing from the AESO Backup Centre.
11/28/2017 20:45,MacKay 1 on line.
11/28/2017 19:51,MacKay 1 off line.
11/28/2017 14:34,Shepard 2 off line.
11/28/2017 12:07,The AESO is doing planned system maintenance today at 14:10 pm MST for approximately 10 minutes. ETS will be unavailable for the duration of this outage. Submissions and restatements will be delayed during this maintenance.
11/28/2017 08:58,As of 06:00 AESO operations are continuing from the AESO Back up Control Center.
11/27/2017 13:27,The AESO is doing planned system maintenance today at 14:10pm MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone
11/25/2017 20:38,Mackay 1 on line.
11/25/2017 19:02,Genesee 1 on line.
11/25/2017 13:06,The AESO is doing planned system maintenance today at 13:10 pm MST for approximately 10 minutes. ETS will be unavailable for the duration of this outage. Submissions and restatements will be delayed during this maintenance.
11/25/2017 11:45,Genesee 1 off line.
11/25/2017 11:09,Mackay 1 off line.
11/25/2017 02:41,Sundance #5 on line.
11/24/2017 09:00,The AESO is doing planned system maintenance today at 9:10 am MST for approximately 5-10 minutes. Submissions and restatements will be delayed during this maintenance.
11/23/2017 15:15,Path 83 in service.
11/23/2017 14:08,The AESO is doing planned system maintenance today at 14:15  MST for approximately 15 minutes. ETS access may be interrupted  but users can log back in immediately.
11/23/2017 13:30,Path 83 out of service.
11/23/2017 12:48,Sundance #6 online.
11/23/2017 10:18,Path 83 in service.
11/23/2017 09:28,The AESO is doing planned system maintenance today at 10:00  MST for approximately 30 minutes. Submissions and restatements will be delayed during this maintenance.
11/22/2017 23:08,Path 83 out of service.
11/22/2017 17:30,Sundance 1 on line.
11/21/2017 21:45,Battle River 3 offline.
11/21/2017 04:49,Sundance 2 online.
11/21/2017 04:00,Battle River 3 online.
11/21/2017 00:28,Keephills 2 on line.
11/20/2017 13:09,The AESO is doing planned system maintenance today at 13:10 MST for approx 30 minutes. ETS will be unavailable for the duration of the outage. Restatements will be delayed as well. If ETS access is lost  close your browser and start a new session.
11/20/2017 01:23,Sundance 5 off line.
11/20/2017 01:22,Sundance 5 Offline
11/19/2017 09:08,Sundance 5 on line.
11/18/2017 22:53,Sundance 1 off line.
11/18/2017 20:01,Keephills 2 off line.
11/17/2017 10:02,Sundance #6 off line
11/17/2017 09:48,The AESO is doing planned system maintenance today at 10:10am MST for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone.
11/17/2017 07:58,Sundance #2 off line
11/16/2017 17:49,The AESO is doing planned system maintenance today at 18:10 MST for approx 30 minutes. ETS will not be available for the duration of the outage. Restatements should be done via phone during this period.
11/16/2017 16:42,Sundance #5 off line
11/12/2017 19:01,Shepard online.
11/12/2017 17:01,Shepard offline.
11/12/2017 15:02,Shepard online.
11/12/2017 13:01,Path 83 Returned to Service
11/11/2017 20:29,Path 83 out of service.
11/11/2017 14:34,Shepard offline.
11/10/2017 20:27,Sheerness #1 offline.
11/10/2017 13:24,The AESO is doing planned system maintenance today at 14:10pm MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone.
11/10/2017 9:59,The AESO is doing planned system maintenance today at 10:10am MST for approx 10 minutes. ETS will not be available for the duration of the outage. Restatements should be done via phone during this period.
11/08/2017 16:35,Sundance 3 on line.
11/08/2017 15:01,The AESO is doing planned system maintenance today at 16:10 MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
11/08/2017 13:00,Sheerness 1 on line.
11/08/2017 9:19,Sheerness 1 offline
11/08/2017 9:08,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
11/07/2017 20:55,Shepard Unit 1 offline
11/07/2017 14:00,Shepard Unit 1 offline
11/06/2017 19:26,Battle River 5 Online.
11/06/2017 12:44,Battle River 5 offline.
11/04/2017 21:52,Mackay River online.
11/04/2017 18:47,On Nov 5 the AESO will change from MDT to MST for daily operations. The HEs in ETS are numbered 01  02  02* to 24. Participants are responsible for ensuring submissions for November 5 reflect the addition of HE 02*
11/04/2017 18:33,Sundance 4 online.
11/04/2017 16:19,Mackay 1 offline
11/04/2017 12:51,Path 83 returned to service
11/04/2017 10:41,Sundance 3 offline.
11/03/2017 14:50,Path 2 in service
11/03/2017 9:37,Battle River 4 online
11/02/2017 11:06,Calgary Energy Centre On Line
11/01/2017 21:58,Sundance 5 on line.
11/01/2017 17:21,Sundance 4 offline.
10/31/2017 22:07,Battle River #4 off line
10/31/2017 11:23,Calgary Energy Centre Off line
10/30/2017 20:34,Sundance Unit 5 offline
10/30/2017 08:04,Calgary Energy Centre Online
10/30/2017 05:46,Sundance #5 On line.
10/30/2017 02:52,Path 83 out of the service.
10/29/2017 12:15,Sundance #5 Off line.
10/29/2017 10:01,Battle River #4 on line
10/29/2017 08:04,Sundance #5 on line
10/28/2017 22:03,Sheerness #2 Off Line
10/28/2017 21:48,Sheerness #2 Off Line
10/28/2017 17:19,Sundance Unit 6 Online
10/27/2017 21:28,Sundance #6 Offline
10/27/2017 08:48,The AESO is doing planned system maintenance today at 10:10 am MDT for approximately 20 minutes. ETS will be unavailable for the duration of this outage. Restatements should be done via telephone during this period.
10/26/2017 09:58,Path 83 in service.
10/26/2017 09:17,Path 83 out of service.
10/26/2017 04:19,Sundance 6 online.
10/25/2017 21:34,Path 83 returned to service.
10/25/2017 21:16,1201L returned to service.
10/25/2017 16:28,Path 1 back in service.
10/25/2017 15:47,Sundance 5 offline
10/25/2017 15:13,Path 1 and Path 83 out of service
10/25/2017 13:22,The AESO is doing planned system maintenance today at 2:10pm MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone.
10/25/2017 13:10,The AESO is doing planned system maintenance today at 1:10pm MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone.
10/24/2017 07:45,Sundance #6 offline.
10/24/2017 07:34,Keephills #3 online.
10/23/2017 04:24,Sheerness 2 on line
10/23/2017 03:05,Keephills #3 off line.
10/22/2017 17:29,Keephills #2 on line.
10/22/2017 16:55,Keephills #3 on line.
10/22/2017 16:54,Keephills #3 on line.
10/22/2017 13:23,The AESO is doing planned system maintenance today at 14:00 MDT for approximately 30 minutes. ETS will be unavailable for the duration of this outage and restatements should be done via telephone.
10/22/2017 03:41,Sheerness 2 off line
10/21/2017 18:06,The AESO is doing planned system maintenance today at 6:00 pm MDT for approximately 30 minutes. ETS will be unavailable for the duration of this outage and restatement should be done via telephone.
10/21/2017 03:34,Sundance 3 on line
10/20/2017 14:20,Path 83 back in service.
10/20/2017 14:12,1201L in service.
10/20/2017 11:23,1201L out of service.
10/20/2017 11:11,Path 83 out of service.
10/20/2017 10:57,The AESO is doing planned system maintenance today at 11:10 am MDT for approximately 20 minutes. ADaMS and ETS will be unavailable for the duration of the outage and dispatches will be via phone.
10/19/2017 18:37,Sheerness #2 Online.
10/19/2017 16:57,The AESO is doing planned system maintenance today at 17:10 pm MDT for approximately 20 minutes. ADaMS and ETS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
10/19/2017 13:57,The AESO is doing planned system maintenance today at 2:10pm MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
10/19/2017 10:59,The AESO is doing planned system maintenance today at 11:10am MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone.
10/19/2017 03:03,Keephills 2 off line
10/17/2017 18:00,Sheerness 2 off line
10/17/2017 17:46,Path 83 in service
10/17/2017 17:27,Path 1 in service
10/17/2017 17:14,Path 1 and Path 83 out of service
10/17/2017 16:18,The AESO is doing planned system maintenance today at 4:20pm MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone.
10/17/2017 09:50,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone.
10/16/2017 20:46,Sundance 3 off line.
10/16/2017 17:47,Path 83 returned to service
10/16/2017 16:45,Path 83 out of service
10/16/2017 08:30,Path 2 out of service.
10/16/2017 05:38,Keephills 2 online.
10/13/2017 19:56,Keephills 2 off line
10/13/2017 10:57,The AESO is doing planned system maintenance today at 11:10am MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone. If ETS is dropped  log back in.
10/13/2017 08:30,Sundance 6 online
10/10/2017 13:33,Sundance 5 online.
10/09/2017 22:19,Sundance 6 offline.
10/07/2017 14:17,Sundance 5 off line.
10/06/2017 17:26,Path 83 back in service.
10/06/2017 16:48,Path 1 back in service.
10/05/2017 6:52,Battle River #5 on line.
10/05/2017 2:13,Battle River #5 Offline.
10/04/2017 18:03,Sundance #1 online.
10/03/2017 22:23,Battle River #3 Offline.
10/03/2017 2:36,Sheerness #2 Online
10/02/2017 21:12,Battle River #5 Online.
10/02/2017 15:50,Path 1 out of service.
10/02/2017 15:23,Path 2 return to service.
10/02/2017 14:49,Path 1 in service.
10/02/2017 14:48,Path 1 in service.
10/02/2017 10:37,Sheerness 2 off line.
10/02/2017 8:12,Battle River 3 on line.
10/02/2017 7:35,Path 2 out of service.
10/02/2017 7:31,Path 1 out of service.
10/02/2017 3:20,Battle River #5 offline.
10/01/2017 17:56,Sundance #1 off line.
09/29/2017 10:03,Sundance 6 on line
09/29/2017 09:34,Path 1 in service.
09/29/2017 08:35,Path 1 out of service.
09/29/2017 03:03,Keephills #2 online.
09/29/2017 02:03,Battle River #3 offline.
09/27/2017 23:56,Battle River 4 off line.
09/27/2017 20:01,Battle River 3 online.
09/26/2017 15:05,The AESO is doing planned system maintenance today at 3:10pm MDT. There are no system impacts  but connections to ADaMS may be interrupted. If your connection is lost you can immediately log back in.
09/26/2017 14:11,AESO has declared EEA 0.
09/26/2017 13:26,AESO has declared EEA1.
09/26/2017 11:53,Keephills 2 off line
09/26/2017 03:00,Battle River 4 online.
09/25/2017 17:43,Sundance 6 on line.
09/25/2017 09:30,1201L removed from service.
09/25/2017 09:28,Path 83 removed from service.
09/24/2017 14:37,Sundance 5 online
09/21/2017 20:46,Sundance 6 off line.
09/21/2017 05:51,Sundance #5 Offline.
09/19/2017 13:52,The AESO is doing planned maintenance today at 2:00pm MST for approximately 20 minutes. ADaMS will not be available during the duration of this maintenance.
09/19/2017 10:01,The AESO is doing planned maintenance today at 10:10am MST for approximately 30 minutes. ADaMS will not be available during this duration. Once complete  ADaMS users will need to close and reopen a new browser to access ADaMS.
09/18/2017 11:46,Sundance #3 Online
09/17/2017 11:50,Keephills #3 offline.
09/16/2017 09:53,Keephills #1 Online
09/15/2017 22:02,Sundance 3 off line
09/14/2017 00:46,Genesee #2 Online.
09/13/2017 21:22,Keephills #1 Offline
09/13/2017 00:30,Battle River 3 off line.
09/12/2017 2:31,Genesee 1 on line.
09/12/2017 1:04,Genesee 2 off line.
09/12/2017 1:03,Battle River 3 on line.
09/11/2017 22:47,Battle River 3 offline
09/11/2017 13:00,Genesee #1 Offline
09/10/2017 4:17,Battleriver #3 online.
09/10/2017 2:08,Battleriver #3 offline.
09/10/2017 2:01,Battleriver #3 online.
09/09/2017 18:32,Genesee #2 online.
09/09/2017 16:42,Genesee #2 offline.
09/09/2017 12:00,Sheerness #1 online.
09/09/2017 9:54,Sundance #6 online.
09/08/2017 21:50,Sheerness #1 Offline.
09/06/2017 3:42,Sundance 6 off line
09/05/2017 2:13,Sundance 3 on line
09/04/2017 0:16,Sheerness 2 on line.
09/03/2017 20:10,Sundance 1 on line.
09/03/2017 12:47,Sheerness 2 off line.
09/03/2017 0:40,Sheerness #1 on line.
09/02/2017 13:37,Sheerness 1 off line.
09/01/2017 21:42,Sundance 1 off line.
09/01/2017 11:28,Keephills 2 on line
08/31/2017 20:04,Keephills 1 on line.
08/30/2017 21:57,Battle River 4 off line.
08/30/2017 11:39,The AESO maintenance scheduled for 2:10pm MST  will be delayed until 3:10pm MST. There will be no outage to ETS or ADaMS  but submissions and restatements in ETS will be delayed during the maintenance. Updates to AESO Reports may be delayed.
08/28/2017 18:18,Keephills 1 off line.
08/28/2017 15:52,Keephills 2 off line.
08/28/2017 08:44,Sundance # 1 on line.
08/28/2017 04:53,Sundance # 1 off line.
08/28/2017 01:43,Sundance # 1 online.
08/27/2017 22:08,Genesee # 1 on line.
08/27/2017 21:04,Sundance # 6 on line.
08/27/2017 08:24,Battle River #4 on line.
08/26/2017 22:06,The AESO is doing planned system maintenance on August 26 at 10:10pm MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone. If ETS is dropped  log back in.
08/26/2017 10:53,Genesee #1 Off Line
08/25/2017 22:02,Sundance #6 offline.
08/25/2017 21:46,Sundance #1 offline.
08/25/2017 16:16,Path 83 back in service.
08/24/2017 10:01,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and dispatches will be via phone. If ETS is dropped  log back in.
08/24/2017 02:34,Battle River #4 Off Line
08/24/2017 01:01,Path 83 out of service.
08/23/2017 08:01,Battle River #4 online.
08/22/2017 20:41,Sundance 6 on line
08/22/2017 14:33,Sundance 6 off line.
08/21/2017 20:15,Sundance #3 on line
08/21/2017 03:27,Sundance #5 on line.
08/18/2017 22:44,Battle River #4 Off Line
08/18/2017 21:30,Sundance #3 Off Line
08/18/2017 21:22,Sundance #5 Off Line
08/17/2017 16:54,Sundance 4 on line.
08/17/2017 12:02,Sundance 4 off Line.
08/16/2017 21:01,Path 83 in service.
08/16/2017 17:35,Path 83 out of service.
08/15/2017 02:38,Sundance 1 on line
08/14/2017 05:02,Sundance #4 on line.
08/14/2017 05:01,Sundance #4 on line.
08/11/2017 22:39,Battle River #3 unit off line
08/11/2017 21:40,Sundance #1 unit off line
08/11/2017 21:38,Sundance 4 unit off line
08/11/2017 9:10,Path 2 in service
08/11/2017 7:15,Path 2 out of service
08/10/2017 22:16,Battle River 3 online.
08/09/2017 20:52,Path 2 in service.
08/09/2017 20:26,Path 2 out of service.
08/08/2017 14:00,Sundance 5 on line.
08/04/2017 22:45,Battle River 3 off line
08/04/2017 17:41,Sundance 5 off line
08/04/2017 9:02,Sundance 1 on line
08/03/2017 22:17,Battle River 3 on line
08/03/2017 21:36,Keephills 3 on line
08/03/2017 19:39,Sundance 3 on line
08/03/2017 16:01,Battle River 3 off line
08/03/2017 14:13,Battle River 3 on line
08/03/2017 12:20,Battle River 3 off line
08/03/2017 8:21,Battle River 3 online
08/03/2017 1:11,Sundance 3 Off line
08/02/2017 10:16,Sundance 1 Offline
08/02/2017 3:16,Keephills #3 offline.
07/31/2017 18:39,Genesee 2 on line.
07/31/2017 10:12,Path 2 in service.
07/31/2017 09:40,Path 2 out of service.
07/30/2017 12:00,Genesee #2 offline.
07/30/2017 11:52,Sundance #1 online.
07/30/2017 07:34,Sundance #6 online.
07/29/2017 23:16,Battle River 3 offline
07/29/2017 14:46,Sundance #2 online.
07/29/2017 02:00,Genesee 1 on line
07/28/2017 20:48,Keephills 2 on line.
07/28/2017 02:00,Genesee 1 offline
07/28/2017 00:01,Battle River 3 online
07/26/2017 19:00,EEA0 Declared for the AIES
07/26/2017 16:08,EEA2 Declared for the AIES.
07/26/2017 16:00,EEA 1 Declared for the AIES
07/26/2017 15:45,Sundance 6 Offline.
07/26/2017 14:01,Keephills 2 Offline.
07/26/2017 06:33,Battle River 4 Online.
07/25/2017 13:21,Sundance 1 offline
07/24/2017 12:54,Sundance 5 online
07/24/2017 03:36,Sundance 5 off line.
07/22/2017 15:32,Sundance #2 off line.
07/21/2017 21:18,Battle River #4 offline.
07/20/2017 23:02,Sundance #5 online.
07/20/2017 21:16,Sundance #5 off line.
07/20/2017 09:13,The AESO is doing planned system maintenance today at 9:30am MDT. There are no system impacts  but connections to ETS and ADaMS may be interrupted. If your connection is lost you can immediately log back in.
07/20/2017 05:35,Battle River #5 on line
07/19/2017 23:18,Battle River #5 offline.
07/17/2017 11:00,Sheerness Unit 1 online
07/17/2017 09:30,Sheerness Unit 1 off line.
07/17/2017 08:01,Sheerness Unit 1 on line.
07/17/2017 04:03,Sheerness #1 off line.
07/15/2017 01:17,Battle River #4 on line.
07/13/2017 20:45,Path 83 in service.
07/13/2017 15:56,Battle River 4 off line.
07/13/2017 14:56,Sheerness 2 on line.
07/13/2017 12:19,Path 83 out of service.
07/12/2017 16:07,Keephills 1 on line.
07/11/2017 1:02,Sheerness #2 off line.
07/10/2017 21:30,Keephills #1 off line.
07/10/2017 8:30,Keephills 2 Online
07/10/2017 1:39,Sundance 2 on line
07/07/2017 21:37,Sundance 2 off line
07/07/2017 16:15,Keephills 2 off line
07/07/2017 11:54,Path 83 back in service.
07/06/2017 14:50,Sundance 5 Online
07/06/2017 4:52,Sundance 5 off line.
07/05/2017 22:32,Keephills #2 on line
07/05/2017 20:56,Path 83 out of service.
07/05/2017 20:01,Sundance 6 on line.
07/02/2017 16:42,Sundance 6 offline
07/02/2017 0:47,Sundance unit 1 on line
07/01/2017 23:08,Sundance Unit 1 off line
07/01/2017 21:51,Sundance unit #1 On-line
07/01/2017 3:50,Sundance 1 off line
06/30/2017 08:07,Battle River 4 on line
06/30/2017 06:05,CEC online
06/30/2017 01:36,Keephills 2 Offline.
06/30/2017 00:49,Battle River 4 off line.
06/29/2017 13:51,The AESO is doing planned system maintenance today at 14:10pm MDT for approximately 30 minutes. Submissions and restatements in ETS will be delayed for approximately 30 minutes.  ETS access may be interrupted  but users can log back in immediately.
06/29/2017 13:10,The AESO is doing planned system maintenance today at 13:10pm MDT for approximately 1 hour. Submissions and restatements in ETS will be delayed for approximately 40-60 minutes.  ETS access may be interrupted  but users can log back in immediately.
06/28/2017 19:55,Battle River 4 on line
06/26/2017 23:07,Sundance Unit 1 online
06/26/2017 14:25,Sundance 1 off line
06/26/2017 05:00,Battle River 4 offline
06/26/2017 03:52,Battle River 4 online
06/25/2017 10:49,Sundance Unit 1 online
06/24/2017 14:13,Sundance 1 offline
06/23/2017 19:53,Sundance 4 online
06/23/2017 17:19,Sheerness 2 online.
06/23/2017 15:20,Keephills 1 online.
06/23/2017 11:45,Frequency deviated to a low of 59.760Hz due to loss of generation outside of Alberta.
06/23/2017 11:10,Sundance 4 offline.
06/23/2017 01:24,Sheerness 2 Off Line
06/22/2017 08:55,Sheerness 2 on line
06/20/2017 19:33,Path 83 in service.
06/20/2017 18:37,1201L back in service.
06/20/2017 01:37,Sheerness 2 off line.
06/19/2017 13:55,1201L out of service.
06/19/2017 13:39,Path 83 out of service.
06/19/2017 10:13,The AESO is doing planned system maintenance today at 10:15am MDT. There are no system impacts  but connections to ETS and ADaMS may be interrupted. If your connection is lost you can immediately log back in.
06/18/2017 07:56,Supply Surplus is no longer in effect. Restatements to increase export interchange transactions within the T-2 time frame are no longer permitted. Restatements to reduce zero dollar block volume within the T-2 time frame are no longer permitted.
06/18/2017 01:51,Supply Surplus in effect. Restatements to increase export interchange transactions are now permitted within the T-2 timeframe. Restatements to reduce zero dollar block volume are now permitted within the T-2 timeframe.
06/16/2017 21:57,Keephills 1 offline.
06/16/2017 06:19,Frequency deviated to a low of 59.674Hz due to loss of generation outside of Alberta.
06/16/2017 01:02,Keephills 2 online
06/15/2017 04:13,Supply Surplus is no longer in effect. Restatements to increase export interchange transactions within the T-2 timeframe are no longer permitted
06/14/2017 23:34,Supply Surplus in effect. Restatements to reduce zero dollar block volume are now permitted within the T-2 timeframe
06/14/2017 23:33,Supply Surplus in effect. Restatements to increase export interchange transactions are now permitted within the T-2 timeframe
06/13/2017 15:04,Keephills 2 off line
06/13/2017 00:53,Sundance #5 online.
06/13/2017 00:52,Sundance #5 online.
06/12/2017 21:56,Path 83  MATL returned to service.
06/12/2017 7:09,Path 83  MATL out of service for scheduled maintenance
06/11/2017 4:03,Supply Surplus is no longer in effect.  Restatements to increase export interchange transactions within the T-2 time frame are no longer permitted.
06/11/2017 4:02,Supply Surplus is no longer in effect.  Restatements to reduce zero dollar block volumes within the T-2 time frame are no longer permitted.
06/11/2017 3:24,Supply Surplus in effect.  Restatements to increase export interchange transactions are now permitted within the T-2 time frame.
06/10/2017 22:00,Sundance 6 on line.
06/10/2017 21:14,Keephills 2 on line.
06/10/2017 18:55,Keephills 2 off line
06/10/2017 17:04,Keephills 2 on line
06/10/2017 12:52,Keephills 2 off line
06/10/2017 12:29,Keephills 2 on line
06/10/2017 7:18,Supply Surplus is no longer in effect.  Restatements to reduce zero dollar block volumes within the T-2 timeframe are no longer permitted.
06/10/2017 5:40,Supply Surplus in effect.   Restatements to reduce zero dollar block volume are now permitted within the T-2 time frame.
06/10/2017 5:39,Supply Surplus in effect.  Restatements to increase export interchange transactions are now permitted within the T-2 time frame.
06/10/2017 4:40,Sundance 6 off line.
06/10/2017 4:39,Supply Surplus is no longer in effect.  Restatements to increase export interchange transactions within the T-2 timeframe are no longer permitted.
06/10/2017 0:28,Supply Surplus in effect.  Restatements to increase export interchange transactions are now permitted within the T-2 time frame.
06/10/2017 0:27,Supply Surplus in effect.   Restatements to reduce zero dollar block volume are now permitted within the T-2 time frame.
06/09/2017 16:55,Sundance 5 off line.
06/09/2017 13:23,Genesee 1 on line.
06/09/2017 0:09,Sheerness 1 on line.
06/08/2017 22:57,Sheerness 1 off line.
06/08/2017 21:01,Keephills 2 off line.
06/08/2017 20:15,Genesee 1 off line.
06/08/2017 16:43,Sundance 2 on line
06/08/2017 15:08,Genesee 1 on line
06/06/2017 22:35,Sundance #2 offline.
06/05/2017 4:26,Supply Surplus is no longer in effect.  Restatements to reduce zero dollar block volumes within the T-2 timeframe are no longer permitted.
06/05/2017 1:23,Supply Surplus in effect.  Restatements to increase export interchange transactions are now permitted within the T-2 timeframe.
06/03/2017 15:33,MacKay River on line
06/03/2017 14:45,MKRC (MacKay River) off line
06/03/2017 13:34,MacKay River on line
06/03/2017 11:58,MKRC (MacKay River) off line
06/03/2017 4:56,Sheerness #1 online.
06/03/2017 0:13,Genesee #2 online.
06/02/2017 21:46,Genesee #2 off line.
06/02/2017 13:38,The AESO is doing planned system maintenance today at 2:00pm MDT for approximately 1 hour. Submissions and restatements in ETS will be delayed for approximately 20 minutes. ETS access may be interrupted  but users can log back in immediately.
06/02/2017 0:32,Calgary Energy Center offline
05/31/2017 23:56,Sheerness 1 off line.
05/27/2017 16:03,Path 2 back in service
05/27/2017 15:58,Path 2 out of service
05/26/2017 09:00,Sundance 4 on line
05/26/2017 05:23,Sheerness #1 on line.
05/26/2017 05:05,Calgary Energy Center online.
05/25/2017 23:48,Sundance 3 off line.
05/25/2017 22:21,Sheerness 1 off line.
05/25/2017 18:10,Sheerness 1 on line.
05/25/2017 16:24,Sheerness 1 offline.
05/25/2017 13:03,IOR2 off line
05/25/2017 11:31,Sundance 4 off line
05/24/2017 05:18,Supply Surplus is no longer in effect. Restatements to reduce zero dollar block volumes within the T-2 time frame are no longer permitted.
05/24/2017 01:40,Supply Surplus in effect. Restatements to increase export interchange transactions are now permitted within the T-2 timeframe.
05/23/2017 22:30,Calgary Energy Centre offline.
05/22/2017 09:50,Keephills 2 online
05/22/2017 03:36,Sundance 5 online
05/19/2017 23:30,Keephills 2 offline
05/19/2017 19:56,Shepard 1 offline
05/18/2017 13:44,The AESO is doing planned system maintenance today at 3:00pm MDT for approximately 1 hour. No impact to submissions or restatements. ETS access may be interrupted  but users can log back in immediately.
05/18/2017 09:50,Sheerness 2 offline
05/18/2017 03:43,Sheerness 1 Online
05/18/2017 03:04,Calgary Energy Centre Online
05/18/2017 02:34,Sheerness 1 Offline
05/18/2017 00:52,Sheerness 1 Online
05/18/2017 00:41,Sundance 4 Online
05/17/2017 23:13,Keephills 2 Offline
05/17/2017 22:58,Sundance 5 Offline
05/17/2017 19:23,Sundance 4 offline.
05/17/2017 13:22,The AESO is doing planned system maintenance today at 2:10pm MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage. System Controllers will dispatch via phone.
05/17/2017 09:51,The AESO is doing planned system maintenance today at 10:10am MDT for approx 20 mins. ADaMS will be unavailable during the outage.  Users may be logged out of ETS for a few mins and will need to log back in.
05/16/2017 11:42,Sundance 2 online.
05/16/2017 07:07,Sheerness 1 offline.
05/16/2017 01:54,Sheerness 2 online.
05/15/2017 05:19,Sundance 4 online.
05/15/2017 03:03,Calgary Energy Centre online.
05/14/2017 21:11,Sheerness 2 offline.
05/14/2017 06:09,Sundance 2 off line.
05/13/2017 14:41,Keephills Unit 2 on line.
05/13/2017 14:31,Keephills Unit 2 off line.
05/13/2017 12:31,Keephills Unit 2 on line.
05/13/2017 03:00,Genesee 1 off line
05/13/2017 00:24,Calgary Energy Center off line
05/12/2017 18:45,Sundance 4 off line
05/12/2017 18:43,Sundance 6 on line
05/12/2017 1:43,Sundance 6 Off Line
05/09/2017 22:02,Sundance 4 off line.
05/08/2017 23:18,Genesee 3 Online
05/08/2017 4:02,Calgary Energy Center online.
05/07/2017 6:24,Sundance 2 on line.
05/07/2017 0:31,Calgary Energy Center off line.
05/06/2017 3:11,Genesee 3 off line.
05/04/2017 9:57,The AESO is doing planned system maintenance today at 10:10am MDT for approx 20 mins. ADaMS will be unavailable during the outage.  Users may be logged out of ETS for a few mins and will need to log back in.
05/02/2017 3:02,Calgary Energy Centre on line.
05/01/2017 21:07,Sundance 2 off line
05/01/2017 21:01,Sherness 1 on line
05/01/2017 17:06,Sheerness 1 off line
05/01/2017 0:00,Summer limits now in effect.
04/30/2017 05:04,MacKay River offline.
04/30/2017 00:00,Summer limits now in affect.
04/29/2017 12:20,Calgary Energy Centre off line.
04/29/2017 06:03,Calgary Energy Centre on line.
04/28/2017 00:31,Calgary Energy Center off line.
04/27/2017 18:59,Keephills Unit 3 on line.
04/27/2017 06:59,Sundance 6 on line.
04/27/2017 06:34,Battle River 5 on line.
04/26/2017 13:09,The AESO is doing planned system maintenance today at 1:00pm MST for approximately 3 hours. ETS users may be required to refresh their logon during this time period.
04/26/2017 04:31,Sundance 1 on line.
04/24/2017 12:44,Battle River 5 off line.
04/24/2017 03:01,Calgary Energy Centre on line.
04/22/2017 05:35,Sundance 1 off line.
04/21/2017 02:47,MEG1 Christina Lake on line
04/21/2017 01:29,MEG1 Christina Lake off line
04/20/2017 19:42,Sundance 6 off line
04/20/2017 19:36,Sundance 6 off line
04/20/2017 17:00,Keephills 3 off line
04/19/2017 21:18,HR Milner offline
04/19/2017 19:05,Battle River 5 on line
04/19/2017 15:33,Calgary Energy Centre offline.
04/19/2017 10:59,The AESO is doing planned system maintenance today at 11:10am MDT for approx 20 mins. ADaMS will be unavailable during the outage.  Users may be logged out of ETS for a few mins and will need to log back in.
